".rownames","pop.fctr"
1665,"pico"
1666,"ultra"
1667,"ultra"
1668,"nano"
1669,"pico"
1671,"ultra"
1672,"pico"
1673,"synecho"
1675,"nano"
1676,"pico"
1677,"pico"
1679,"nano"
1680,"synecho"
1683,"ultra"
1684,"ultra"
1685,"pico"
1686,"pico"
1687,"pico"
1689,"pico"
1690,"ultra"
1692,"pico"
1696,"synecho"
1697,"ultra"
1699,"nano"
1700,"pico"
1701,"ultra"
1702,"synecho"
1705,"synecho"
1707,"pico"
1708,"pico"
1712,"pico"
1716,"pico"
1717,"ultra"
1718,"crypto"
1721,"pico"
1722,"pico"
1724,"pico"
1725,"pico"
1726,"nano"
1727,"synecho"
1732,"pico"
1735,"pico"
1736,"ultra"
1737,"ultra"
1739,"nano"
1740,"pico"
1741,"nano"
1744,"pico"
1749,"pico"
1750,"ultra"
1754,"nano"
1755,"ultra"
1760,"nano"
1763,"pico"
1764,"nano"
1769,"pico"
1770,"nano"
1772,"nano"
1773,"nano"
1775,"ultra"
1776,"pico"
1777,"synecho"
1781,"ultra"
1785,"nano"
1788,"synecho"
1789,"synecho"
1790,"pico"
1792,"pico"
1793,"pico"
1794,"pico"
1796,"pico"
1797,"pico"
1798,"ultra"
1799,"nano"
1803,"pico"
1805,"pico"
1809,"ultra"
1811,"pico"
1813,"nano"
1817,"synecho"
1818,"synecho"
1819,"ultra"
1823,"ultra"
1824,"pico"
1829,"synecho"
1832,"ultra"
1833,"pico"
1834,"ultra"
1835,"pico"
1836,"ultra"
1837,"synecho"
1839,"pico"
1844,"pico"
1845,"pico"
1849,"pico"
1850,"synecho"
1853,"nano"
1855,"pico"
1861,"synecho"
1862,"pico"
1866,"synecho"
1867,"pico"
1868,"ultra"
1871,"pico"
1873,"pico"
1874,"nano"
1876,"synecho"
1878,"synecho"
1879,"pico"
1881,"synecho"
1882,"nano"
1883,"synecho"
1885,"pico"
1886,"ultra"
1888,"ultra"
1889,"ultra"
1890,"ultra"
1891,"pico"
1892,"nano"
1893,"ultra"
1894,"nano"
1895,"nano"
1898,"pico"
1900,"pico"
1901,"pico"
1902,"synecho"
1905,"pico"
1906,"synecho"
1907,"ultra"
1910,"ultra"
1911,"nano"
1914,"pico"
1915,"synecho"
1918,"nano"
1920,"ultra"
1923,"pico"
1924,"pico"
1926,"synecho"
1931,"pico"
1932,"ultra"
1937,"ultra"
1939,"synecho"
1941,"pico"
1943,"nano"
1944,"nano"
1945,"pico"
1946,"ultra"
1948,"ultra"
1951,"pico"
1954,"ultra"
1957,"synecho"
1961,"nano"
1963,"pico"
1966,"pico"
1969,"synecho"
1971,"synecho"
1972,"synecho"
1978,"pico"
1981,"pico"
1982,"pico"
1985,"ultra"
1986,"nano"
1988,"ultra"
1989,"pico"
1990,"pico"
1991,"synecho"
1992,"pico"
1993,"pico"
1995,"nano"
1998,"nano"
2000,"nano"
2001,"nano"
2009,"pico"
2010,"synecho"
2011,"pico"
2013,"ultra"
2017,"synecho"
2021,"ultra"
2024,"synecho"
2027,"ultra"
2028,"ultra"
2029,"synecho"
2032,"pico"
2038,"synecho"
2040,"nano"
2041,"ultra"
2046,"pico"
2047,"synecho"
2050,"pico"
2051,"synecho"
2053,"synecho"
2054,"synecho"
2056,"ultra"
2057,"ultra"
2058,"pico"
2061,"synecho"
2062,"nano"
2063,"synecho"
2064,"pico"
2068,"synecho"
2072,"synecho"
2074,"ultra"
2075,"nano"
2076,"pico"
2077,"pico"
2079,"nano"
2081,"nano"
2082,"ultra"
2084,"pico"
2085,"pico"
2093,"synecho"
2097,"synecho"
2098,"pico"
2100,"ultra"
2102,"synecho"
2103,"synecho"
2105,"synecho"
2106,"ultra"
2107,"nano"
2109,"synecho"
2110,"ultra"
2111,"nano"
2113,"ultra"
2118,"ultra"
2120,"ultra"
2121,"pico"
2122,"nano"
2124,"pico"
2126,"pico"
2127,"pico"
2128,"pico"
2129,"pico"
2131,"pico"
2132,"pico"
2134,"ultra"
2137,"pico"
2138,"ultra"
2140,"nano"
2141,"pico"
2142,"ultra"
2143,"pico"
2147,"synecho"
2150,"ultra"
2152,"pico"
2153,"pico"
2155,"synecho"
2156,"ultra"
2160,"ultra"
2161,"pico"
2165,"ultra"
2166,"pico"
2169,"pico"
2170,"pico"
2171,"nano"
2172,"ultra"
2173,"ultra"
2175,"pico"
2178,"pico"
2179,"synecho"
2183,"nano"
2184,"ultra"
2186,"synecho"
2188,"pico"
2191,"synecho"
2195,"synecho"
2197,"pico"
2198,"ultra"
2199,"ultra"
2202,"nano"
2203,"nano"
2205,"nano"
2206,"pico"
2207,"nano"
2209,"nano"
2210,"nano"
2211,"ultra"
2213,"pico"
2214,"ultra"
2220,"pico"
2224,"ultra"
2226,"pico"
2227,"ultra"
2231,"nano"
2233,"synecho"
2237,"nano"
2238,"nano"
2239,"pico"
2240,"pico"
2245,"pico"
2247,"pico"
2249,"pico"
2250,"pico"
2252,"nano"
2253,"synecho"
2257,"ultra"
2258,"synecho"
2263,"ultra"
2264,"ultra"
2265,"synecho"
2266,"nano"
2267,"ultra"
2271,"pico"
2272,"nano"
2274,"pico"
2278,"synecho"
2280,"nano"
2281,"ultra"
2283,"synecho"
2284,"nano"
2285,"pico"
2289,"pico"
2290,"ultra"
2291,"pico"
2295,"nano"
2296,"ultra"
2298,"nano"
2300,"synecho"
2301,"ultra"
2305,"pico"
2306,"pico"
2308,"ultra"
2310,"nano"
2311,"synecho"
2313,"synecho"
2314,"synecho"
2315,"nano"
2316,"pico"
2318,"ultra"
2322,"nano"
2323,"synecho"
2326,"pico"
2327,"ultra"
2332,"ultra"
2335,"nano"
2341,"nano"
2345,"ultra"
2347,"ultra"
2349,"synecho"
2351,"nano"
2352,"ultra"
2353,"nano"
2355,"ultra"
2359,"nano"
2360,"ultra"
2361,"pico"
2364,"nano"
2368,"ultra"
2371,"pico"
2374,"pico"
2375,"nano"
2376,"ultra"
2380,"pico"
2384,"ultra"
2385,"synecho"
2386,"ultra"
2388,"pico"
2389,"pico"
2390,"nano"
2395,"pico"
2397,"pico"
2398,"ultra"
2399,"ultra"
2401,"nano"
2403,"nano"
2404,"ultra"
2405,"synecho"
2406,"pico"
2407,"ultra"
2408,"synecho"
2410,"pico"
2411,"ultra"
2413,"synecho"
2414,"pico"
2415,"pico"
2419,"synecho"
2420,"ultra"
2427,"nano"
2428,"ultra"
2429,"ultra"
2431,"ultra"
2434,"ultra"
2436,"ultra"
2437,"pico"
2439,"pico"
2440,"synecho"
2441,"ultra"
2445,"nano"
2446,"pico"
2450,"ultra"
2454,"pico"
2455,"nano"
2456,"pico"
2458,"synecho"
2459,"ultra"
2460,"synecho"
2462,"nano"
2463,"nano"
2464,"pico"
2465,"pico"
2468,"ultra"
2472,"pico"
2475,"pico"
2479,"nano"
2481,"ultra"
2483,"pico"
2484,"ultra"
2487,"pico"
2492,"ultra"
2494,"synecho"
2496,"pico"
2497,"ultra"
2498,"ultra"
2500,"synecho"
2501,"synecho"
2502,"ultra"
2504,"nano"
2505,"ultra"
2508,"nano"
2512,"ultra"
2513,"nano"
2515,"ultra"
2517,"synecho"
2518,"ultra"
2520,"synecho"
2521,"ultra"
2522,"synecho"
2524,"pico"
2525,"pico"
2527,"synecho"
2528,"ultra"
2531,"pico"
2534,"pico"
2535,"nano"
2538,"ultra"
2539,"synecho"
2540,"synecho"
2543,"synecho"
2544,"pico"
2547,"ultra"
2548,"synecho"
2551,"pico"
2552,"ultra"
2556,"ultra"
2558,"nano"
2560,"ultra"
2563,"nano"
2564,"nano"
2566,"pico"
2568,"nano"
2570,"nano"
2571,"nano"
2572,"pico"
2574,"ultra"
2583,"ultra"
2584,"ultra"
2587,"ultra"
2588,"pico"
2591,"synecho"
2592,"ultra"
2593,"synecho"
2595,"pico"
2599,"ultra"
2600,"synecho"
2601,"nano"
2604,"synecho"
2608,"ultra"
2610,"pico"
2612,"pico"
2613,"pico"
2614,"nano"
2615,"synecho"
2616,"pico"
2618,"pico"
2619,"pico"
2621,"nano"
2625,"pico"
2627,"synecho"
2628,"pico"
2630,"pico"
2632,"ultra"
2634,"ultra"
2635,"ultra"
2641,"pico"
2642,"pico"
2643,"ultra"
2645,"ultra"
2649,"synecho"
2651,"ultra"
2652,"ultra"
2655,"nano"
2656,"ultra"
2658,"synecho"
2659,"pico"
2661,"pico"
2662,"pico"
2663,"pico"
2664,"ultra"
2669,"nano"
2670,"pico"
2671,"pico"
2672,"ultra"
2674,"ultra"
2678,"ultra"
2680,"ultra"
2683,"pico"
2684,"pico"
2687,"pico"
2688,"ultra"
2689,"pico"
2690,"nano"
2691,"synecho"
2693,"synecho"
2694,"synecho"
2695,"pico"
2698,"pico"
2700,"pico"
2701,"nano"
2702,"synecho"
2703,"ultra"
2704,"synecho"
2707,"pico"
2708,"pico"
2709,"pico"
2715,"synecho"
2716,"ultra"
2719,"nano"
2722,"pico"
2724,"pico"
2726,"nano"
2729,"pico"
2730,"ultra"
2731,"pico"
2732,"ultra"
2734,"pico"
2736,"ultra"
2739,"pico"
2740,"synecho"
2741,"ultra"
2744,"synecho"
2745,"ultra"
2746,"ultra"
2748,"pico"
2749,"ultra"
2750,"pico"
2752,"pico"
2756,"pico"
2758,"nano"
2760,"pico"
2762,"pico"
2763,"ultra"
2765,"ultra"
2768,"ultra"
2770,"nano"
2771,"ultra"
2772,"nano"
2773,"ultra"
2774,"synecho"
2777,"synecho"
2780,"pico"
2781,"ultra"
2782,"pico"
2783,"synecho"
2785,"pico"
2786,"ultra"
2788,"ultra"
2789,"nano"
2790,"ultra"
2791,"pico"
2792,"pico"
2793,"synecho"
2794,"pico"
2795,"nano"
2797,"nano"
2798,"pico"
2806,"synecho"
2808,"nano"
2809,"synecho"
2812,"ultra"
2813,"nano"
2817,"synecho"
2818,"nano"
2820,"ultra"
2823,"pico"
2826,"pico"
2832,"ultra"
2833,"pico"
2834,"nano"
2835,"pico"
2838,"synecho"
2840,"nano"
2842,"pico"
2843,"ultra"
2844,"ultra"
2847,"pico"
2848,"synecho"
2849,"ultra"
2853,"pico"
2855,"ultra"
2857,"nano"
2859,"nano"
2860,"pico"
2861,"pico"
2863,"nano"
2865,"pico"
2868,"pico"
2870,"synecho"
2871,"ultra"
2872,"pico"
2874,"ultra"
2880,"ultra"
2881,"pico"
2885,"synecho"
2887,"crypto"
2888,"pico"
2897,"ultra"
2901,"synecho"
2902,"pico"
2904,"pico"
2905,"pico"
2906,"pico"
2907,"pico"
2908,"nano"
2910,"nano"
2914,"nano"
2915,"ultra"
2916,"ultra"
2918,"nano"
2920,"ultra"
2921,"nano"
2928,"ultra"
2929,"nano"
2931,"nano"
2935,"ultra"
2937,"crypto"
2939,"pico"
2941,"nano"
2942,"ultra"
2943,"pico"
2944,"nano"
2945,"pico"
2946,"ultra"
2947,"pico"
2949,"nano"
2951,"pico"
2954,"synecho"
2956,"pico"
2959,"pico"
2960,"pico"
2966,"pico"
2973,"nano"
2975,"pico"
2980,"nano"
2981,"nano"
2983,"pico"
2985,"pico"
2988,"nano"
2991,"nano"
2992,"pico"
2993,"ultra"
2994,"nano"
3000,"pico"
3001,"pico"
3002,"synecho"
3006,"pico"
3010,"ultra"
3011,"synecho"
3014,"pico"
3015,"ultra"
3016,"ultra"
3017,"nano"
3020,"nano"
3022,"nano"
3023,"pico"
3025,"synecho"
3027,"ultra"
3028,"pico"
3031,"nano"
3033,"pico"
3035,"ultra"
3036,"pico"
3037,"synecho"
3040,"pico"
3047,"pico"
3048,"synecho"
3049,"pico"
3052,"synecho"
3053,"synecho"
3054,"pico"
3055,"nano"
3056,"ultra"
3057,"nano"
3060,"nano"
3068,"synecho"
3070,"ultra"
3071,"ultra"
3074,"nano"
3076,"pico"
3077,"pico"
3079,"pico"
3081,"ultra"
3082,"synecho"
3083,"pico"
3084,"ultra"
3085,"pico"
3086,"pico"
3087,"pico"
3088,"synecho"
3090,"pico"
3093,"pico"
3094,"pico"
3099,"ultra"
3100,"nano"
3104,"pico"
3105,"pico"
3108,"ultra"
3109,"pico"
3110,"pico"
3111,"pico"
3112,"ultra"
3113,"ultra"
3114,"ultra"
3115,"ultra"
3116,"synecho"
3117,"pico"
3119,"synecho"
3121,"pico"
3122,"ultra"
3124,"nano"
3125,"pico"
3126,"nano"
3127,"ultra"
3128,"ultra"
3129,"synecho"
3131,"pico"
3134,"pico"
3143,"ultra"
3144,"synecho"
3146,"synecho"
3147,"nano"
3149,"nano"
3152,"ultra"
3155,"pico"
3158,"synecho"
3161,"ultra"
3163,"synecho"
3164,"ultra"
3165,"ultra"
3166,"nano"
3172,"ultra"
3174,"ultra"
3176,"pico"
3178,"synecho"
3179,"nano"
3182,"pico"
3185,"synecho"
3188,"nano"
3191,"synecho"
3192,"synecho"
3196,"pico"
3197,"pico"
3198,"pico"
3199,"pico"
3200,"ultra"
3201,"ultra"
3202,"ultra"
3205,"synecho"
3206,"ultra"
3208,"ultra"
3210,"pico"
3211,"pico"
3212,"ultra"
3216,"pico"
3217,"ultra"
3219,"ultra"
3220,"pico"
3221,"pico"
3222,"ultra"
3225,"pico"
3227,"nano"
3230,"pico"
3231,"pico"
3234,"pico"
3236,"pico"
3243,"synecho"
3248,"pico"
3249,"synecho"
3251,"nano"
3252,"pico"
3253,"ultra"
3258,"ultra"
3259,"nano"
3261,"pico"
3265,"synecho"
3270,"pico"
3271,"pico"
3272,"nano"
3274,"synecho"
3278,"ultra"
3279,"pico"
3280,"synecho"
3281,"pico"
3282,"pico"
3283,"pico"
3284,"ultra"
3285,"ultra"
3286,"pico"
3287,"pico"
3288,"ultra"
3289,"ultra"
3290,"ultra"
3291,"pico"
3293,"ultra"
3294,"synecho"
3295,"nano"
3296,"ultra"
3299,"pico"
3301,"pico"
3302,"ultra"
3305,"synecho"
3307,"ultra"
3308,"synecho"
3310,"ultra"
3311,"nano"
3314,"pico"
3319,"pico"
3320,"pico"
3321,"synecho"
3322,"synecho"
3323,"ultra"
3326,"nano"
3327,"synecho"
3330,"ultra"
3332,"ultra"
3334,"pico"
3335,"pico"
3338,"pico"
3339,"nano"
3341,"pico"
3343,"pico"
3344,"synecho"
3345,"ultra"
3349,"pico"
3352,"ultra"
3353,"pico"
3355,"synecho"
3359,"nano"
3367,"pico"
3368,"synecho"
3372,"nano"
3374,"ultra"
3375,"pico"
3376,"ultra"
3379,"pico"
3381,"nano"
3384,"nano"
3386,"nano"
3387,"nano"
3388,"nano"
3389,"synecho"
3391,"synecho"
3392,"ultra"
3394,"pico"
3396,"pico"
